alpha,gamma_exp,M_0,rho_max,n_mob,ic_mode,rho_mean_ic,noise_amplitude,eta,n_steps,lambda_1,lambda_1_r2,G0_fit,lambda_2,total_rho_change_pct,scale_factor_ratio,basins_initial,basins_final,basins_max,basins_grew,horizon_frac,rho_final_max,rho_final_min,rho_final_std,lap_pos_frac,lap_mean,lap_std,w_eff,has_inflation,has_structure_formation,has_residual_gradient,has_thinning,has_heat_death,phase_sequence,error,rho_mean,N,cfl_safety,seed
1.2,0.4,1.0,100.0,2,uniform_noise,50.0,0.5,8.33333333333334e-07,20000,0.4387855648455089,0.9999999369766528,0.2707135367523894,0.593764903238719,-0.001404759115660923,1.0071557463959235,82,82,82,False,0.0,51.449473211220926,48.93308380743724,0.46575256910537094,0.52734375,0.0,1.0357290872408975,-0.9993385804186975,False,False,False,False,False,transition,,50.0,256,0.4,42
1.4,0.4,1.0,100.0,2,uniform_noise,50.0,0.5,7.142857142857148e-07,20000,0.4387542430509266,0.9999999539293082,0.2707136162579088,0.6981579073154724,-0.001417223445358474,1.0061299314753187,82,82,82,False,0.0,51.450427722267726,48.9320184716642,0.46623978336990585,0.52734375,0.0,1.0377193191364598,-0.9992222371624753,False,False,False,False,False,transition,,50.0,256,0.4,42
1.7,0.4,1.0,100.0,2,uniform_noise,50.0,0.5,5.882352941176474e-07,20000,0.43868060904404704,0.9999999689875546,0.2707136869993629,0.8547625584893294,-0.0014304719386042898,1.005044606059399,82,82,82,False,0.0,51.45143964576446,48.93088808623784,0.46675686598733673,0.53125,0.0,1.0398313752733128,-0.9990476163984262,False,False,False,False,False,transition,,50.0,256,0.4,42
2.0,0.4,1.0,100.0,2,uniform_noise,50.0,0.5,5.000000000000003e-07,20000,0.43858778481125477,0.9999999777596208,0.2707137282918134,1.0113781317454298,-0.0014397771931222078,1.0042853870423845,82,82,82,False,0.0,51.45214876737932,48.93009535494821,0.4671195652454977,0.53125,0.0,1.0413127287775008,-0.9988728755169543,False,False,False,False,False,transition,,50.0,256,0.4,42
0.1,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,8e-05,20000,0.3682967823630214,0.997253325870433,0.2659826303035766,0.16507757744920534,-0.018811617386164957,1.7748025025939538,82,60,82,False,0.0,50.99195795144163,49.29748947947958,0.2925319550136876,0.53515625,0.0,0.33283006799239634,-0.9997809188452722,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.2,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,4e-05,20000,0.4039126330387899,0.9995850862288885,0.26965128387515147,0.24252274593602913,-0.019602708683878287,1.3699778724545395,82,71,82,False,0.0,51.178377142915366,49.17962791147751,0.35198653050568285,0.54296875,0.0,0.5683207820534704,-0.9997065190608085,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.4,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,2e-05,20000,0.4187182484807106,0.9999090218548804,0.27042449649946737,0.4249776333586183,-0.020479027503854948,1.177528943037817,82,79,82,False,0.0,51.299270618918285,49.06876638286635,0.4000281706039704,0.55078125,0.0,0.7658203405203059,-0.9995039116302845,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.6,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,1.3333333333333335e-05,20000,0.4235889223466445,0.9999583388163735,0.27056671851038944,0.6144136140354582,-0.020907260061010634,1.116550157220741,82,80,82,False,0.0,51.34492716373727,49.023100426306115,0.42028813508909274,0.5546875,0.0,0.8492282818643626,-0.9992910247133899,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.8,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,1e-05,20000,0.4258910996231068,0.9999717567793688,0.2706152553585296,0.8056353479041487,-0.02115626771008309,1.0867634709148055,82,81,82,False,0.0,51.36889551198398,48.99829810779126,0.4313971896373851,0.55078125,0.0,0.8948921959414347,-0.9990753980403367,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
1.0,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,8.000000000000001e-06,20000,0.42717090200598645,0.9999706431027396,0.2706367112976879,0.9975875084292474,-0.021318396259648088,1.0690433779548625,82,81,82,False,0.0,51.38366078149546,48.98273611537444,0.4384033266597648,0.546875,0.0,0.9236563894140737,-0.998858530789826,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
